algorithm,instance_class,seed,num_jobs,num_machines,num_ops,valid,runtime_ms,population_size,generations,crossover_probability,mutation_probability,best_makespan,lower_bound,gap_pct,avg_utilization,min_utilization,max_utilization,critical_job
GA,hard,5,10,6,45,True,174.312,40,80,0.85,0.15,143,96,48.958,0.7296,0.6573,0.8182,5
SLGA,hard,5,10,6,45,True,227.864,40,80,,,143,96,48.958,0.7296,0.6573,0.8182,5
Greedy ECT,extreme,1,10,6,43,True,0.373,,0,,,304,158,92.405,0.5987,0.0921,0.8618,9
GA,extreme,1,10,6,43,True,177.466,40,80,0.85,0.15,304,158,92.405,0.5987,0.0921,0.8618,9
SLGA,extreme,1,10,6,43,True,181.488,40,80,,,304,158,92.405,0.5987,0.0921,0.8618,9
Greedy ECT,extreme,2,10,6,43,True,0.402,,0,,,289,243,18.93,0.5957,0.3633,0.737,2
GA,extreme,2,10,6,43,True,161.286,40,80,0.85,0.15,289,243,18.93,0.5957,0.3633,0.737,2
SLGA,extreme,2,10,6,43,True,200.443,40,80,,,287,243,18.107,0.6173,0.3659,0.7352,2
Greedy ECT,extreme,3,10,6,49,True,0.415,,0,,,321,217,47.926,0.7087,0.6231,0.866,1
GA,extreme,3,10,6,49,True,184.804,40,80,0.85,0.15,321,217,47.926,0.7087,0.6231,0.866,1
SLGA,extreme,3,10,6,49,True,212.849,40,80,,,321,217,47.926,0.7087,0.6231,0.866,1
Greedy ECT,extreme,4,10,6,45,True,0.385,,0,,,354,204,73.529,0.5443,0.2825,0.9266,9
GA,extreme,4,10,6,45,True,174.301,40,80,0.85,0.15,354,204,73.529,0.5443,0.2825,0.9266,9
SLGA,extreme,4,10,6,45,True,212.221,40,80,,,354,204,73.529,0.5443,0.2825,0.9266,9
Greedy ECT,extreme,5,10,6,48,True,0.393,,0,,,556,402,38.308,0.3906,0.2176,0.6529,5
GA,extreme,5,10,6,48,True,192.234,40,80,0.85,0.15,556,402,38.308,0.3906,0.2176,0.6529,5
SLGA,extreme,5,10,6,48,True,213.099,40,80,,,556,402,38.308,0.3906,0.2176,0.6529,5
